,tweet_id,party,user_location,created_at,text,party_dummy,preprocessed_text
0,852821022222962690,EM,"Paris, Ile-de-France",2017-04-14 09:49:11,RT @DavidAbiker: Thierry Breton soutient Emmanuel Macron et l'annonce à l'instant sur @Europe1,1,rt @davidabiker thierry breton soutenir emmanuel macron et annonce instant sur @europe1
1,834142070231203840,EM,"Toulouse, France",2017-02-21 20:45:41,#LaFranceEnMarche #Macron2017 https://t.co/8aeXAPTOkU,1,#lafranceenmarche #macron2017
2,843065281660534784,EM,Pondicherry,2017-03-18 11:43:21,RT @CCastaner: Je vous retrouve ce soir sur @France2tv dans @ONPCofficiel. Une heure @enmarchefr pr défendre le projet d'@EmmanuelMacron #O…,1,rt @ccastaner retrouver soir sur @france2tv dans @onpcofficiel heure @enmarchefr pr défendre projet #o…
3,853967590280101890,EM,Houilles ➡️ Madrid ,2017-04-17 13:45:14,RT @enmarchefr: « Ce n'est pas un vain mot de dire que nous avons créé une nouvelle famille politique. » @StanGuerini #MacronPrésident,1,rt @enmarchefr ne pas vain mot dire créer nouveau famille politique @stanguerini #macronprésident
4,857154672360030209,EM,"Versailles, France",2017-04-26 08:49:33,"RT @TeamMacron2017: Non, Emmanuel Macron n'est pas un candidat ultra-libéral, partisan d'une ""mondialisation sauvage"" https://t.co/7PLyAXFS…",1,rt @teammacron2017 non emmanuel macron ne pas candidat partisan mondialisation sauvage
5,805436064089436160,EM,Saint- Ouen /Paris 20,2016-12-04 15:38:16,Macron fait une entrée fracassante au classement des meilleures ventes de livres https://t.co/SuJVk1tMCS via @20minutes,1,macron faire entrée fracassant classement meilleur vente livre via @20minutes
6,852631242549981184,EM,"Paris, France 75008.",2017-04-13 21:15:04,RT @itsmyPresident: 🔴📊[SONDAGE] @EmmanuelMacron 📈en tête au 1er tour avec 24% !!🙌https://t.co/w4DKMHwc1w #Presidentielle2017 #MacronPreside…,1,rt @itsmypresident sondage @emmanuelmacron en tête premier tour avec 24 % #presidentielle2017 #macronpreside…
7,835848878075301890,EM,,2017-02-26 13:47:56,"RT @AADtConsulting: #NosTerritoiresEnMarche #EnMarche 
Monsieur Daniel Cohn-bendit, je vous écoute 👂 depuis longtemps. Je connais vos valeu…",1,rt @aadtconsulting #nosterritoiresenmarche #enmarche monsieur daniel cohn-bendit depuis longtemps connaître valeu
8,826785175992430594,EM,"La Baule-Escoublac, France",2017-02-01 13:32:01,"ON n'est pas dupes !En accusant LA gauche avec un ""coup d'état institutionnel""Fillon essaie de renverser le débat face #PenelopeGate",1,ne pas dupe en accuser gauche avec coup état institutionnel fillon essayer renverser débat face #penelopegate
9,839093982810501120,EM,"Lyon, Rhône-Alpes",2017-03-07 12:42:49,#Macron peut dire merci au #FN pour la pub qu'il lui fait sans cesse depuis plusieurs jours. #CaVous #LePen #Philippot,1,#macron pouvoir dire merci #fn pour pub faire sans cesse depuis jour #cavous #lepen #philippot
10,841661360467529730,EM,"Clamart, France",2017-03-14 14:44:40,"&gt; @FrancoisFillon mis en examen pour détournement de fonds publics 
&gt; Prochain épisode? 
#presidentielle2017… https://t.co/W3vHU1HM1G",1,@francoisfillon mettre en examen pour détournement fonds public prochain épisode #presidentielle2017… gramme
11,838032941645246464,EM,Nantes.France,2017-03-04 14:26:37,"RT @AlexLemarie: Retailleau contre une destitution de Fillon par LR: ""Que les appareils politiques ne s’avisent pas à modifier le choix"" de…",1,rt @alexlemarie retailleau contre destitution fillon par lr appareil politique ne aviser pas modifier choix
12,822031981743636480,EM,Région Paris,2017-01-19 10:44:31,"Présidentielle : Ayrault ne soutiendra pas forcément le vainqueur de la primaire à gauche.

Terrible.

 https://t.co/VRNhHsTaYq",1,présidentielle ayrault ne soutenir pas forcément vainqueur primaire gauche terrible
13,834810836761923584,EM,RP,2017-02-23 17:03:08,@lesRepublicains Vous pouvez rire Mais Mr Propre a Bien déçu🤔Dommage car il aurait probablement gagné.Ce n'est pas encore perdu😰 #cdanslair,1,@lesrepublicains pouvoir rir mais mr propre bien déçu dommage car probablement gagner ne pas encore perdre #cdanslair
14,846469988345090048,EM,"Ile-de-France, France",2017-03-27 21:12:26,"RT @CCastaner: ""Si @benoithamon est élu, sur son projet politique, alors je serais dans l'opposition."" @BFMTV #GrandAngle https://t.co/WsOo…",1,rt @ccastaner si élire sur projet politique alors être dans opposition @bfmtv #grandangle
15,833007487632756737,EM,Paris,2017-02-18 17:37:16,RT @87saintyrieix: 51% de Français d'accord avec Emmanuel Macron pour dire que la colonisation est un crime... https://t.co/Gf2hLQSVPM #SON…,1,rt @87saintyrieix 51 % français accord avec emmanuel macron pour dire colonisation crime #son…
16,860120283872718849,EM,bretagne,2017-05-04 13:13:50,"RT @BFMTV: VIDEO - ""Je soutiens Emmanuel Macron"" Barack #Obama s’engage dans la présidentielle https://t.co/uczYUyVm4q via @BFMTV https://t…",1,rt @bfmtv video soutenir emmanuel macron barack #obama engager dans présidentielle via @bfmtv
17,855418644649701377,EM,,2017-04-21 13:51:12,@MarcheurAthee @kikkinno @chriscassard9 @AChenopi @EmmanuelMacron @Saou_Mohamed Toi qui était #EnMarche 95 tu connais Victoire Malki ?,1,@marcheurathee @kikkinno @chriscassard9 @achenopi @emmanuelmacron @saou_mohamed #enmarche 95 connaître victoire malki
18,840277744567144448,EM,"Pas-de-Calais, Nord-Pas-de-Cal",2017-03-10 19:06:40,"RT @CCastaner: ""Prenons le meilleur de ce qui est de droite et le meilleur de gauche et faisons avancer notre pays."" @alpes_1 #TeamMacron",1,rt @ccastaner prendre meilleur être droite et meilleur gauche et faire avancer pays @alpes_1 #teammacron
19,837662413822521344,EM,,2017-03-03 13:54:17,"RT @jfkbismuth: 🔴#Macron2017
Retraites : #Macron veut en finir avec les ""inégalités entre fonctionnaires et salariés du privé"" 
https://t.c…",1,rt @jfkbismuth #macron2017 retraite #macron vouloir finir avec inégalité entrer fonctionnaire et salarié privé
20,838042512187142144,EM,France,2017-03-04 15:04:39,RT @EnMarcheParis11: Les marcheurs présentent le #programmeEM au marché de Charonne. Les idées d'@EmmanuelMacron enthousiasment les #parisi…,1,rt @enmarcheparis11 marcheur présenter #programmeem marché charonne idée enthousiasmer #parisi…
