tweet_id,party,user_location,created_at,text
852821022222962690,EM,"Paris, Ile-de-France",2017-04-14 09:49:11,RT @DavidAbiker: Thierry Breton soutient Emmanuel Macron et l'annonce à l'instant sur @Europe1
834142070231203840,EM,"Toulouse, France",2017-02-21 20:45:41,#LaFranceEnMarche #Macron2017 https://t.co/8aeXAPTOkU
843065281660534784,EM,Pondicherry,2017-03-18 11:43:21,RT @CCastaner: Je vous retrouve ce soir sur @France2tv dans @ONPCofficiel. Une heure @enmarchefr pr défendre le projet d'@EmmanuelMacron #O…
853967590280101890,EM,Houilles ➡️ Madrid ,2017-04-17 13:45:14,RT @enmarchefr: « Ce n'est pas un vain mot de dire que nous avons créé une nouvelle famille politique. » @StanGuerini #MacronPrésident
857154672360030209,EM,"Versailles, France",2017-04-26 08:49:33,"RT @TeamMacron2017: Non, Emmanuel Macron n'est pas un candidat ultra-libéral, partisan d'une ""mondialisation sauvage"" https://t.co/7PLyAXFS…"
805436064089436160,EM,Saint- Ouen /Paris 20,2016-12-04 15:38:16,Macron fait une entrée fracassante au classement des meilleures ventes de livres https://t.co/SuJVk1tMCS via @20minutes
852631242549981184,EM,"Paris, France 75008.",2017-04-13 21:15:04,RT @itsmyPresident: 🔴📊[SONDAGE] @EmmanuelMacron 📈en tête au 1er tour avec 24% !!🙌https://t.co/w4DKMHwc1w #Presidentielle2017 #MacronPreside…
835848878075301890,EM,,2017-02-26 13:47:56,"RT @AADtConsulting: #NosTerritoiresEnMarche #EnMarche 
Monsieur Daniel Cohn-bendit, je vous écoute 👂 depuis longtemps. Je connais vos valeu…"
826785175992430594,EM,"La Baule-Escoublac, France",2017-02-01 13:32:01,"ON n'est pas dupes !En accusant LA gauche avec un ""coup d'état institutionnel""Fillon essaie de renverser le débat face #PenelopeGate"
839093982810501120,EM,"Lyon, Rhône-Alpes",2017-03-07 12:42:49,#Macron peut dire merci au #FN pour la pub qu'il lui fait sans cesse depuis plusieurs jours. #CaVous #LePen #Philippot
841661360467529730,EM,"Clamart, France",2017-03-14 14:44:40,"&gt; @FrancoisFillon mis en examen pour détournement de fonds publics 
&gt; Prochain épisode? 
#presidentielle2017… https://t.co/W3vHU1HM1G"
838032941645246464,EM,Nantes.France,2017-03-04 14:26:37,"RT @AlexLemarie: Retailleau contre une destitution de Fillon par LR: ""Que les appareils politiques ne s’avisent pas à modifier le choix"" de…"
822031981743636480,EM,Région Paris,2017-01-19 10:44:31,"Présidentielle : Ayrault ne soutiendra pas forcément le vainqueur de la primaire à gauche.

Terrible.

 https://t.co/VRNhHsTaYq"
834810836761923584,EM,RP,2017-02-23 17:03:08,@lesRepublicains Vous pouvez rire Mais Mr Propre a Bien déçu🤔Dommage car il aurait probablement gagné.Ce n'est pas encore perdu😰 #cdanslair
846469988345090048,EM,"Ile-de-France, France",2017-03-27 21:12:26,"RT @CCastaner: ""Si @benoithamon est élu, sur son projet politique, alors je serais dans l'opposition."" @BFMTV #GrandAngle https://t.co/WsOo…"
833007487632756737,EM,Paris,2017-02-18 17:37:16,RT @87saintyrieix: 51% de Français d'accord avec Emmanuel Macron pour dire que la colonisation est un crime... https://t.co/Gf2hLQSVPM #SON…
860120283872718849,EM,bretagne,2017-05-04 13:13:50,"RT @BFMTV: VIDEO - ""Je soutiens Emmanuel Macron"" Barack #Obama s’engage dans la présidentielle https://t.co/uczYUyVm4q via @BFMTV https://t…"
855418644649701377,EM,,2017-04-21 13:51:12,@MarcheurAthee @kikkinno @chriscassard9 @AChenopi @EmmanuelMacron @Saou_Mohamed Toi qui était #EnMarche 95 tu connais Victoire Malki ?
840277744567144448,EM,"Pas-de-Calais, Nord-Pas-de-Cal",2017-03-10 19:06:40,"RT @CCastaner: ""Prenons le meilleur de ce qui est de droite et le meilleur de gauche et faisons avancer notre pays."" @alpes_1 #TeamMacron"
837662413822521344,EM,,2017-03-03 13:54:17,"RT @jfkbismuth: 🔴#Macron2017
Retraites : #Macron veut en finir avec les ""inégalités entre fonctionnaires et salariés du privé"" 
https://t.c…"
838042512187142144,EM,France,2017-03-04 15:04:39,RT @EnMarcheParis11: Les marcheurs présentent le #programmeEM au marché de Charonne. Les idées d'@EmmanuelMacron enthousiasment les #parisi…
835090949411856384,EM,France,2017-02-24 11:36:12,"RT @EchosPolitique: SONDAGE #presitrack #LePen tjs en tête à 26%, Macron en ↗️ à 23% (+1), #Fillon stable à 20% -&gt; https://t.co/RgqIuAF6vj…"
848595387808198657,EM,Breizh pointe du Raz,2017-04-02 17:58:01,"RT @JYLT: #Macron et la #Bretagne... et ben rien, le vide , des banalités , du blablabla... https://t.co/8u71OLSedZ"
852073250683330560,EM,,2017-04-12 08:17:48,RT @mhserve: Le ministre allemand des Finances soutient Macron face à Fillon  https://t.co/0ZaXWczRwU via @Le_Figaro
823886249903718400,EM,"Paris, France",2017-01-24 13:32:43,Quelle réforme pour la formation continue ? #Macron https://t.co/TORkWEgIW6
851697434757656576,EM,,2017-04-11 07:24:26,"RT @ManuBresset: Rupture ?
""Pas un regard, pas un geste envers Penelope Fillon"" #CàVous https://t.co/XdwCJ83Y7N"
824917881259429892,EM,là où l'on ne m'attend pas ,2017-01-27 09:52:03,RT @FC_actu: Culture : @EmmanuelMacron veut notamment créer un pass de 500 euros pour tous les jeunes de 18 ans. https://t.co/wVFDLLoOsJ
853134130707550209,EM,"Uzès, France",2017-04-15 06:33:21,"RT @EMacron_2017: #Melenchon est dangereux pour le pays, tout comme #LePen, #Fillon aussi et n'est pas intègre ! Pas le choix : #JeVoteMacr…"
824688687766183936,EM,,2017-01-26 18:41:19,"RT @GetchTchern: Déplacement d' Emmanuel Macron au Proche-Orient #Liban #Hariri #Beyrouth #Jordanie #Syrie #EnMarche
https://t.co/7Fx8f40H7u"
860577529366753280,EM,,2017-05-05 19:30:46,"RT @LenaBred: #Macron défend les ordonnances. Mais s'engage à accepter un plus grand contrôle du parlement, aujourd'hui très faible. #Media…"
826827407969632259,EM,,2017-02-01 16:19:50,RT @RachidaElAzzz: #Fillon passera-t-il la semaine? Nouvelles révélations de @mediapart et nouveau salarié fantôme https://t.co/pUwlW0bijJ
846764311347417088,EM,,2017-03-28 16:41:58,"RT @JeunesMacron: ""Si possible, j'aimerai que mon Premier Ministre soit une femme"" @EmmanuelMacron #LaMajoritéEnMarche"
828191614111719425,EM,Alpes-Maritimes,2017-02-05 10:40:42,"RT @Rouqui2: Macron à Lyon / Un souffle républicain convaincant et jusque là inédit.
GR https://t.co/Kk4WlF9JWN"
841742793844379651,EM,paris,2017-03-14 20:08:15,"RT @democratesem: ""Une peine prononcée est une peine exécutée. Lesmesures pour la justice @EmmanuelMacron dans @laprovence #EnMarche https:…"
838758380999168000,EM,,2017-03-06 14:29:16,"RT @OPhilDelo: « Ecologistes, nous choisissons Emmanuel Macron ! » 
https://t.co/PwgARNHL62
#EnMarche"
855186381882130432,EM,bretagne,2017-04-20 22:28:16,RT @adia66: Balançant de fausses infos en direct voulant se prendre pour je ne sais qui #Fillon termine sa campagne comme il a commencé:dan…
858419915891650560,EM,"Val-de-Marne, Ile-de-France",2017-04-29 20:37:11,RT @BFMTV_Inside: Mercredi 3 mai : @EmmanuelMacron face à @MLP_officiel sur @BFMTV à 21h #DEBAT #Presidentielle2017 https://t.co/mUrZGQjLzs
834017729246011392,EM,"Ile-de-France, France",2017-02-21 12:31:36,"@Fillededroite sois plus maline vote pour politique plus propre! Ton fillon va te demander des efforts, pendant que lui recupere le blé"
827082663626407936,EM,Creuse,2017-02-02 09:14:08,"RT @mediapart: François Fillon : Un job caché à 200 000 euros, générateur de conflits d’intérêt https://t.co/ANcuHAwkbY https://t.co/pOKeS8…"
841348309646266369,EM,"Punxsutawney, Pennsylvania",2017-03-13 18:00:43,"@AnthoGonzalez56 Hamon sait très bien que le PS récoltera assez de ""petits"" dons pour financer sa campagne. Facile de donner des leçons!"
857600616121737217,EM,Creuse,2017-04-27 14:21:34,"RT @BFMTV: Bruno Le Maire: ""Je voterai pour Emmanuel Macron"" https://t.co/1Zs8KslgP7"
821783500277878784,EM,"Annecy, France",2017-01-18 18:17:09,"RT @axelletess: ""Pourquoi @EmmanuelMacron est le candidat de l'émancipation des femmes"" par @MarleneSchiappa https://t.co/3v904iFFCO"
805867815085473793,EM,"Paris, France",2016-12-05 20:13:54,"En voyage au USA, Emmanuel Macron était aujourd'hui à l'Université de Columbia. Retrouvez son intervention ici ➡ https://t.co/yvCwGInJ6J"
