	tweet_id	party	user_location	created_at	text	party_dummy	preprocessed_text		
0	8,52821022222963E+017	EM	Paris, Ile-de-France	2017-04-14 09:49:11	RT @DavidAbiker: Thierry Breton soutient Emmanuel Macron et l'annonce à l'instant sur @Europe1	1	rt @davidabiker thierry breton soutenir emmanuel macron et annonce instant sur @europe1		
1	8,34142070231204E+017	EM	Toulouse, France	2017-02-21 20:45:41	#LaFranceEnMarche #Macron2017 https://t.co/8aeXAPTOkU	1	#lafranceenmarche #macron2017		
2	8,43065281660535E+017	EM	Pondicherry	2017-03-18 11:43:21	RT @CCastaner: Je vous retrouve ce soir sur @France2tv dans @ONPCofficiel. Une heure @enmarchefr pr défendre le projet d'@EmmanuelMacron #O…	1	rt @ccastaner retrouver soir sur @france2tv dans @onpcofficiel heure @enmarchefr pr défendre projet #o…		
3	8,53967590280102E+017	EM	Houilles ➡️ Madrid 	2017-04-17 13:45:14	RT @enmarchefr: « Ce n'est pas un vain mot de dire que nous avons créé une nouvelle famille politique. » @StanGuerini #MacronPrésident	1	rt @enmarchefr ne pas vain mot dire créer nouveau famille politique @stanguerini #macronprésident		
4	8,5715467236003E+017	EM	Versailles, France	2017-04-26 08:49:33	"RT @TeamMacron2017: Non, Emmanuel Macron n'est pas un candidat ultra-libéral, partisan d'une ""mondialisation sauvage"" https://t.co/7PLyAXFS…"	1	rt @teammacron2017 non emmanuel macron ne pas candidat partisan mondialisation sauvage		
5	8,05436064089436E+017	EM	Saint- Ouen /Paris 20	2016-12-04 15:38:16	Macron fait une entrée fracassante au classement des meilleures ventes de livres https://t.co/SuJVk1tMCS via @20minutes	1	macron faire entrée fracassant classement meilleur vente livre via @20minutes		
6	8,52631242549981E+017	EM	Paris, France 75008.	2017-04-13 21:15:04	RT @itsmyPresident: 🔴📊[SONDAGE] @EmmanuelMacron 📈en tête au 1er tour avec 24% !!🙌https://t.co/w4DKMHwc1w #Presidentielle2017 #MacronPreside…	1	rt @itsmypresident sondage @emmanuelmacron en tête premier tour avec 24 % #presidentielle2017 <UNK>		
7	8,35848878075302E+017	EM		2017-02-26 13:47:56	"RT @AADtConsulting: #NosTerritoiresEnMarche #EnMarche 
Monsieur Daniel Cohn-bendit, je vous écoute 👂 depuis longtemps. Je connais vos valeu…"	1	rt <UNK> #nosterritoiresenmarche #enmarche monsieur daniel cohn-bendit depuis longtemps connaître <UNK>		
8	8,26785175992431E+017	EM	La Baule-Escoublac, France	2017-02-01 13:32:01	"ON n'est pas dupes !En accusant LA gauche avec un ""coup d'état institutionnel""Fillon essaie de renverser le débat face #PenelopeGate"	1	ne pas dupe en accuser gauche avec coup état institutionnel fillon essayer renverser débat face #penelopegate		
9	8,39093982810501E+017	EM	Lyon, Rhône-Alpes	2017-03-07 12:42:49	#Macron peut dire merci au #FN pour la pub qu'il lui fait sans cesse depuis plusieurs jours. #CaVous #LePen #Philippot	1	#macron pouvoir dire merci #fn pour pub faire sans cesse depuis jour #cavous #lepen #philippot		
10	8,4166136046753E+017	EM	Clamart, France	2017-03-14 14:44:40	"&gt; @FrancoisFillon mis en examen pour détournement de fonds publics 
&gt; Prochain épisode? 
#presidentielle2017… https://t.co/W3vHU1HM1G"	1	@francoisfillon mettre en examen pour détournement fonds public prochain épisode #presidentielle2017… gramme		
11	8,38032941645247E+017	EM	Nantes.France	2017-03-04 14:26:37	"RT @AlexLemarie: Retailleau contre une destitution de Fillon par LR: ""Que les appareils politiques ne s’avisent pas à modifier le choix"" de…"	1	rt @alexlemarie retailleau contre destitution fillon par lr appareil politique ne <UNK> pas modifier choix		
