tweet_id,party,user_location,created_at,text,party_dummy,preprocessed_text
853871127160029184,EM,"Saint-Denis, France",2017-04-17 07:21:55,"#Macron Les 20% de ménage les plus aisés paieront la taxe d'habitation, les 80% plus modestes seront exonérés… https://t.co/je6XFjahL9",1,#macron 20 % ménage plus aisé payer taxe habitation 80 % plus modeste exonérer
856904536555966464,FN,"Rhône-Alpes, France",2017-04-25 16:15:36,"RT @TintinCAC40: Sarkozy c'était ""Travailler plus pour gagner plus"". ( c'était audible )
Macron c'est ""Travailler plus pour gagner moins"".…",0,rt @tintincac40 sarkozy travailler plus pour gagner plus audible macron travailler plus pour gagner moins
832719389015158784,FN,France,2017-02-17 22:32:28,RT @MarineElysee: RT nicolasbayfn: Amplifions la dynamique patriote en #Normandie ! #Marine2017 https://t.co/qt5ajnbJCX,0,rt @marineelysee rt nicolasbayfn amplifions dynamique patriote en #normandie #marine2017
849344102726598656,EM,"Paris, France",2017-04-04 19:33:08,#Macron2017 #LeGrandDébat https://t.co/QB1RuW26Rg,1,#macron2017 #legranddébat
835877358368325636,EM,"Levallois-Perret, France",2017-02-26 15:41:06,RT @business: Macron gets his third endorsement in less than a week https://t.co/gDKYc7jxZ6 https://t.co/CTWIqPt59d,1,rt @business macron gets his third endorsement in less than avoir week
815943614312443904,FN,France,2017-01-02 15:31:31,RT @OnZeLeft: Qd une presse de gauche fait la désintox des diffamations ridicules d'@aurelifil (PS) envers #Macron2017…c'est que le PS est…,0,rt @onzeleft qd presse gauche faire désinto diffamation ridicule @aurelifil ps envers #macron2017…c'est ps être
859157121983819777,FN,,2017-05-01 21:26:34,"RT @MichelJanva: Marine Le Pen : la philosophie de Macron, c'est ""En marche ou crève"" https://t.co/eikkEyZZO8",0,rt @micheljanva marine pen philosophie macron être en marche ou crever
834469188857131009,EM,RP,2017-02-22 18:25:32,"Désolant d'être à 26 % alors k'il n'y a ke du vide et des mensonges, truandes, enfumage et facho #fn #Marine2017 #19hruthelkrief",1,désolant 26 % alors ne avoir ke vide et mensonge truande enfumage et facho #fn #marine2017 #19hruthelkrief
820603513810157568,FN,"Metz, France",2017-01-15 12:08:18,"RT @PhilippeMurer: Macron à Lille
Un succès de mobilisation mais pas forcément un succès d'estrade selon le figaro https://t.co/62zKGcX9jY",0,rt @philippemurer macron lille succès mobilisation mais pas forcément succès estrade selon figaro
812356189283610624,FN,,2016-12-23 17:56:23,"RT @david_rachline: 🔴 A quelques jours de Noël, j'ai le plaisir de vous présenter le site officiel de @MLP_officiel : marine2017.fr ! #AuNo…",0,rt @david_rachline jour noël avoir plaisir présenter site officiel @mlp_officiel marine2017 fr #auno…
804028513540046855,EM,France,2016-11-30 18:25:10,RT @hugooillic: Suspendu de mes fonctions nationales et locales à l'#UDI pour notre soutien à #Macron. Je prend acte et assume avec fierté…,1,rt @hugooillic suspendre fonction national et local #udi pour soutien #macron prendre acte et assumer avec fierté
817782344044187648,FN,"Saint-Raphaël, Var",2017-01-07 17:17:59,"Le #FN était sur le marché de #Fréjus, afin d'informer des dangers du candidat #Fillon et d'apporter nos propositio… https://t.co/h2HbwFAYfs",0,#fn sur marché #fréjus afin informer danger candidat #fillon et apporter propositio
849177132337176576,EM,,2017-04-04 08:29:39,"#Macron VIDÉO – “Du vide, du vent, trop superficiel” : Quand le public fuit un meeting de Macron avant la fin https://t.co/NoF6M93rf1",1,#macron vidéo vide vent trop superficiel quand public fuir meeting macron avant fin
842490446148452354,EM,"Paris, France",2017-03-16 21:39:09,"La presse allemande sous le charme de #Macron

#Presidentielle2017 #Macron2017 #EnMarche #MacronBerlin
https://t.co/zuvUplnSqT",1,presse allemand sou charme #macron #presidentielle2017 #macron2017 #enmarche #macronberlin
862340522341523456,FN,"Saône-et-Loire, Bourgogne",2017-05-10 16:16:16,"RT @ActifsPatriotes: Bienvenue sous Macron Ier, où débattre d'une loi Travail au Parlement, ce serait du ""tatillonnage""...
https://t.co/7X8…",0,rt @actifspatriotes bienvenue sou macron ier débattre loi travail parlement tatillonnage
826450671822131200,FN,,2017-01-31 15:22:49,"RT @vdhollande: Et maintenant, Bernard Debré révèle que Penelope Fillon était aussi l’assistante de son mari Premier ministre https://t.co/…",0,rt @vdhollande et maintenant bernard debré révéler penelope fillon aussi assistant mari premier ministre
859423067159891969,FN,France,2017-05-02 15:03:21,"RT @BFMTV: DIRECT ""Macron menace: s'il sert de punching-ball à Marine Le Pen, il quittera le plateau au bout d'une demi-heure"" dit @Camille…",0,rt @bfmtv direct macron menace se servir punching-ball marine pen quitter plateau bout demi-heure dire @camille
824666548434505729,FN,"Rhône, Rhône-Alpes",2017-01-26 17:13:21,"RT @1_Paulo_1: Donc d'après Marc Ladreit de Lacharrière, Pénélope Fillon a été payée 100 000 € pour deux notes de lecture. J'aimerais beauc…",0,rt @1_paulo_1 donc après marc ladreit lacharrière pénélope fillon payer pour deux note lecture aimer beauc
840927095362596864,EM,"Massy, France",2017-03-12 14:06:57,"RT @LadroiteavecEM: Jean-Paul Delevoye : « pourquoi, moi le gaulliste chiraquien, j’ai rejoint Emmanuel Macron et En Marche ! » https://t.c…",1,rt @ladroiteavecem jean-paul delevoye pourquoi gaulliste chiraquien rejoindre emmanuel macron et en marche
856234534635016202,FN,,2017-04-23 19:53:15,"RT @wdesaintjust: ""Étant pro UE, il en découle que M. #Macron ne pourra pas résoudre les problèmes d'emploi et d'immigration."" @LCI",0,rt @wdesaintjust être pro ue découler monsieur #macron ne pouvoir pas résoudre problème emploi et immigration @lci
803869478471815168,EM,MOURENS,2016-11-30 07:53:13,Combien vous coûtera le programme de santé publique de François Fillon https://t.co/QR7MN1YvSl,1,combien coûter programme santé public françois fillon
828385747728220163,FN,,2017-02-05 23:32:07,Cmt se sentent les LR avec l'affaire Fillon déclenchée par le PS après s'être alliés avec eux lors d régionales?Des pions! On se réveille,0,cmt sentir lr avec affaire fillon déclencher par ps après allier avec lors régionales de pion réveiller
851405934081560580,EM,U,2017-04-10 12:06:07,"RT @SebBillard: Mélenchon et Fillon rêvent du second tour, Marine Le Pen réécrit l'histoire https://t.co/enDwIIHKXI",1,rt @sebbillard mélenchon et fillon rêver second tour marine pen réécrire histoire
823466486144626688,FN,Pays-Bas,2017-01-23 09:44:44,"Primaire de la gauche : coup dur pour Manuel Valls: Hier dimanche 22 janvier, avait lieu le… https://t.co/KsnfzKQMDP",0,primaire gauche coup dur pour manuel valls hier dimanche 22 janvier avoir lieu
